Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
INSL5	10022	0.294756584043077	0.17229508565502	0.03516574368376
POPDC3	64208	0.294756584043077	0.172311644147046	0.0396804151880334
DESI2	51029	0.294756584043077	0.172319437253923	0.200125134739315
RAPGEF1	2889	0.294834460505692	0.172378196448779	0.142616482282051
ADRB3	155	0.294846110341383	0.172398239538567	0.0398417822863246
FCGBP	8857	0.294854430415531	0.172416336593563	0.0929503392136746
NEBL	10529	0.294871320055377	0.172442383452293	0.102397821098291
TNXB	7148	0.294871320055377	0.172452678856603	0.0303066415470084
CAMTA1	23261	0.295117249450216	0.172609752371075	0.0302035315512819
CHRNA4	1137	0.295164259735594	0.172650494161187	0.0244028344059826
HSDL2	84263	0.295170851241329	0.1726675961913	0.257351828760684
ERVK3-2	100862697	0.295187509736277	0.172690588202761	0.0455942068461535
CDRT1	374286	0.295277520527754	0.172761108210984	0.0494189478119655
HOXC4	3221	0.295277520527754	0.172769748805855	0.0983496941196558
PCLO	27445	0.295311105783794	0.172802652619256	0.0528185003589745
		0.295356403827336	0.172842413764236	0.104004292888889
SRC	6714	0.295377523858876	0.172876882755984	0.0771709153504263
TNIK	23043	0.295377523858876	0.17288128466398	-0.123054941991452
TSPAN4	7106	0.295424885825654	0.17292226297285	0.346168441059829
		0.295434290576112	0.172941026175775	0.0381994388632476
PTOV1	53635	0.295517546368573	0.173007421226697	-0.281364576341883
ZFHX2	85446	0.295517546368573	0.173016286403285	0.105880742700855
RREB1	6239	0.295556410583831	0.173052303948627	0.0303429237649562
FXYD7	53822	0.295701604781208	0.173153193851188	0.184169571047009
MAT1A	4143	0.295701604781208	0.173163857684781	0.0581866500341879
YIPF6	286451	0.295725959013576	0.173203728129351	0.10573824365812
SLC12A4	6560	0.295725959013576	0.173204662347358	0.0619002697692297
ATP6V1G2	534	0.295796326150467	0.173259150424804	0.154458228431624
GJA4	2701	0.295822503564961	0.173287759234997	-0.0678391688461555
EFHD1	80303	0.295851673452737	0.173318123468654	0.0261992623632477
DDX49	54555	0.295938688019293	0.173390941361452	-0.153697823111115
CPA1	1357	0.295938688019293	0.173407069048878	0.044407294820513
KLHL35	283212	0.295938688019293	0.173408941770314	0.0832180358205123
PTENP1	11191	0.295973585063676	0.173442672609679	0.279543777427351
ABCA8	10351	0.296003189234425	0.173473304681253	0.271626344568375
CRIP2	1397	0.29600677656311	0.173494211660016	0.480801808978632
CRISP1	167	0.29600677656311	0.173501974989489	0.0769123964871796
PNLIPRP1	5407	0.296016650974122	0.173532343884291	0.0546006713632474
MIR6789///PLEKHJ1	102466736///55111	0.296016650974122	0.173547135273102	-0.128647078401708
CPNE1	8904	0.296016650974122	0.173559111014	-0.232836118957266
HHLA2	11148	0.296016650974122	0.1735609004612	0.115294397017094
HNRNPA3	220988	0.296150231028823	0.173652511718467	-0.205843197944445
ACVRL1	94	0.296161451970411	0.173683195996307	0.0421531480769226
PDLIM3	27295	0.296161451970411	0.17368567312971	0.0916814448760688
AGBL3	340351	0.296231593106766	0.173740101885398	0.118926642209401
TBL1X	6907	0.296369166053835	0.173834088781745	0.226866792034187
SOX14	8403	0.296434366205051	0.173885634818751	0.0425322776025641
HGC6.3	100128124	0.296538985529681	0.173963137822293	0.0704376470598271
TAS2R3	50831	0.296538985529681	0.17397361925367	0.0322772132521365
ANKRD34C	390616	0.296551152450351	0.173994065751285	0.038411120837607
TEF	7008	0.296628687156484	0.174057294343106	0.0656290044487182
IGSF9B	22997	0.296628687156484	0.174066181091334	0.0984421954914501
OLFM1	10439	0.296640625687565	0.174086499219867	0.031077580752136
LARP6	55323	0.296879682664829	0.174243964399194	0.0274526909829058
WNT7A	7476	0.296879682664829	0.174266354045327	0.0428056825683756
LOC101929078	101929078	0.296879682664829	0.174266761623478	0.0431380086752138
INTS8	55656	0.296881254319875	0.174281007393901	-0.216908285500001
PPP1CB	5500	0.29688318489211	0.174295464020041	0.216580603111113
ARL2BP	23568	0.296899232983754	0.17431820962736	0.0589344402692298
PPP1R10	5514	0.296947873707749	0.174360094223946	-0.16858791384188
TRAPPC9	83696	0.297044282000755	0.174432542838465	-0.139552549837606
SCD5	79966	0.297044282000755	0.174443363741951	0.518675973452989
		0.29709284804637	0.174495074602607	0.0787414665042725
PRRC2B	84726	0.29709284804637	0.174498550250455	-0.276218044905987
HAND2	9464	0.297159724344489	0.17455116599852	0.0419595274273501
SLC13A2	9058	0.297200450179643	0.174594321328115	0.0467239300042728
DALRD3	55152	0.297200450179643	0.174601763375744	0.151933454260682
TLK2	11011	0.297262135485813	0.174657592933944	-0.146264593311965
GLCE	26035	0.297262135485813	0.174665270631675	0.0588785419273505
		0.297262135485813	0.174688253426005	-0.0941394014017121
USP8	9101	0.297262135485813	0.174691364007841	0.235842477217947
GYG2	8908	0.297385720920291	0.174777337035953	0.126937857756409
HCG4B	80868	0.297420112873215	0.174810897020172	0.0567597615982898
		0.297484079064674	0.174861843898447	0.0474613516666675
CDH11	1009	0.297532957134449	0.174910374040444	0.0317792003803419
ZNF430	80264	0.297532957134449	0.174917279471403	0.319534722260683
ACRV1	56	0.297649140281916	0.174998940305766	0.0306080897905976
MLPH	79083	0.297724297599155	0.175056489123733	0.0356404778076911
		0.297974964511998	0.175217249023951	0.0395151164829053
HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	554313///121504///8370///8368///8367///8366///8365///8364///8363///8362///8361///8360///8359///8294	0.297993582626077	0.175241570108698	0.109046722773505
SCD	6319	0.298085143363849	0.175308791625151	-0.0569616321025643
NR4A2	4929	0.298141729534951	0.175355450670245	0.591541296448717
FERMT2	10979	0.298284543404835	0.175452834466058	0.0445329409444435
TCL6	27004	0.298366856309689	0.175514641318826	0.103920794555553
CLCN1	1180	0.298464765514627	0.175585630800666	0.0800429064786323
SULT1C2	6819	0.298591376491025	0.175673515495999	0.0278278278888884
ANAPC15	25906	0.298681889281814	0.175743888549728	0.188445689653847
PLAA	9373	0.298681889281814	0.175753575921696	0.190371576440171
C21orf62	56245	0.298693146941985	0.175773604804122	0.0278143384957259
FOXRED2	80020	0.298714523612418	0.175799589940908	0.124376363829058
CIITA	4261	0.298750603429805	0.175834230758062	0.0320128381623932
COL5A3	50509	0.298821166356971	0.175889171922005	0.0972993212991451
ARPP21	10777	0.298874715036351	0.175934103896774	0.0326223184444436
HDAC1	3065	0.298981473690181	0.176010365384723	0.157063898722219
TFPI2	7980	0.299079844590707	0.17608315053224	0.082115905491452
SMIM2	79024	0.299079844590707	0.176104920940249	0.0279560609059835
ZNF510	22869	0.299079844590707	0.176120129391583	-0.0904316861709393
DLGAP1	9229	0.299079844590707	0.176121963861206	0.0657692380213653
CASQ1	844	0.299165869164969	0.176186047706857	0.0321499761880326
FGFR2	2263	0.299298330429395	0.176277489052434	0.0964489349273494
TRMT1	55621	0.299299769367386	0.176291768296322	0.0304533809188023
LOC100996919///CD8B	100996919///926	0.299473100806046	0.176430626912978	0.11156786761111
TMEM160	54958	0.299473100806046	0.176431557987011	-0.265813803128209
PAX6	5080	0.299473100806046	0.176444449916541	0.0394193690940163
HIPK3	10114	0.299473100806046	0.176447621078067	0.412950086803419
PEX3	8504	0.299522421086601	0.176490122015306	0.151209354542736
LZTS1	11178	0.299545726736672	0.1765172973917	0.0505648857820513
		0.299611498459931	0.176569501313818	0.141545802055555
LOC100420758	100420758	0.299713768183177	0.176643222077353	0.0818953375726492
RRAGB	10325	0.299728051647146	0.176672561742561	0.127523668551282
		0.299728051647146	0.176704122473396	0.0464040094529903
SCNN1A	6337	0.299728051647146	0.176720373558801	0.0335889463504275
CYP2C19	1557	0.299728051647146	0.176726335148353	0.0770805500299132
ARHGAP28	79822	0.299728051647146	0.176731377060024	0.0404384881282045
BRAP	8315	0.299728051647146	0.17673234620975	0.143228499021368
ROR1	4919	0.299809531278845	0.176793844679981	0.0272883737777772
RAD21L1	642636	0.300028408739915	0.176938736626538	0.135627515350427
DYNLRB1	83658	0.300028408739915	0.176956598556	0.129782136371794
		0.300028408739915	0.176963307277687	0.0724970140940164
SALL1	6299	0.300030685589799	0.176996869166014	0.0514307019871785
SMPDL3B	27293	0.300030685589799	0.177003284199411	-0.104503444192308
PAX2	5076	0.300030685589799	0.177005043879348	0.0276980534102562
VPS16	64601	0.300209222452173	0.177125168773213	0.14145972329487
BRINP2	57795	0.300209222452173	0.177137317991346	0.0486715582991457
		0.300360614407588	0.177240125604514	0.165487829072649
		0.300513717278086	0.17735290488703	0.0274803496239311
PVR	5817	0.300513717278086	0.177357442710771	0.0518338886196585
CCNA2	890	0.300518274006109	0.177373618441338	-0.475366420816238
CBS	875	0.30052920631623	0.177393557899626	0.0406295831239309
OR10H2	26538	0.300700997588401	0.177508455875682	0.0383693900213666
		0.300721965792139	0.177534329309141	0.0621914219401702
COL4A4	1286	0.300758249663024	0.177569247074754	0.0303143236880339
NR4A2	4929	0.300849488593433	0.17763661631844	0.594099025089742
EEA1	8411	0.300881304867732	0.177680010424607	0.143929121504272
TRIL	9865	0.300881304867732	0.177703751672498	0.0299538910042738
GRIA1	2890	0.300881304867732	0.177706596883134	0.0513448420128211
MIR4745///PTBP1	100616459///5725	0.300881304867732	0.177709767895591	0.240948269179487
TMLHE	55217	0.300881304867732	0.177722915885163	0.026450370132479
TK2	7084	0.301078414957299	0.17785285536431	0.157195318547009
UPF3A	65110	0.301097838182233	0.177877841485927	-0.118860640153848
CAMK2B	816	0.301125676225505	0.177914218080107	0.0272822824700851
PENK	5179	0.301125676225505	0.1779213145979	0.374711213260684
ARFGAP3	26286	0.301272997159776	0.178025353992851	0.149274683521366
PIAS3	10401	0.301272997159776	0.178035400376966	-0.127793799290599
		0.301276758013143	0.178051143305438	0.0681931934615374
VWA7	80737	0.301292168720656	0.178075288655697	0.0260510328162393
		0.301292168720656	0.178087530955611	0.0530528760897448
PSORS1C2	170680	0.301292168720656	0.178100814360206	0.033359793290598
TTC31	64427	0.301346423044716	0.178150563379753	-0.183219067504277
HIST1H1B	3009	0.301346423044716	0.178170057399707	0.049726380410255
CHST2	9435	0.301346423044716	0.178173456160038	0.279516782423077
ZNF224	7767	0.301401437284242	0.178219509835174	0.0290761549017096
CCL13	6357	0.301501822749057	0.178304690976551	0.0555742208333339
FAM65B	9750	0.301501822749057	0.178311618080932	0.378423714658119
CTAG1A///CTAG1B	246100///1485	0.301501822749057	0.178319459767976	0.0309300267564101
		0.3015247969288	0.178346579164457	0.0305923229102567
		0.301565795746742	0.178384362686254	0.055198100012821
IGLC1	3537	0.301585688588107	0.178409664182041	0.0320828532777777
PAPPA2	60676	0.30164965844517	0.17846104417191	0.104177746123931
CSF3R	1441	0.301658560140692	0.178481528011554	0.400859455354698
KIZ	55857	0.301658560140692	0.178493385785353	0.274972220047008
IGLJ3	28831	0.301700935540263	0.178545423781895	0.182251728850426
IRX4	50805	0.301700935540263	0.17855135436313	0.0368913084230771
PAFAH2	5051	0.301700935540263	0.178559078127047	0.0884102700299132
GPATCH3	63906	0.301709030292094	0.178580460004575	0.124416316106837
TDRKH	11022	0.301709030292094	0.178602122511272	0.0296832773461535
KITLG	4254	0.301709030292094	0.178604488560024	0.0441823794743574
IFNA6///IFNA5	3443///3442	0.301729856540398	0.178630358007491	0.0717326267606841
SLC8A1	6546	0.301756850013913	0.178659880726723	0.129275621670939
NEK3	4752	0.301777643942191	0.178685735052429	0.1737621938547
ALDH1A2	8854	0.3018047778153	0.178715345477399	0.0803717802478623
PTCH1	5727	0.301986730892104	0.1788366423216	0.0682567280299153
KIR3DL1	3811	0.302060046800673	0.178893615654467	0.0998818656153846
NRCAM	4897	0.302067550568635	0.178911615689308	0.0404748950683769
KRT85	3891	0.302078849726879	0.178931864540011	0.0532023359743583
L3MBTL1	26013	0.302119407488459	0.178969446611662	0.0656085395555559
PRRC2A	7916	0.302155679360628	0.179013436703778	-0.166395600880343
CACNB3	784	0.302155679360628	0.17901805317592	-0.132950824354701
		0.30225342710626	0.179105933376843	0.0337848984145293
SEMA3E	9723	0.30225342710626	0.179111973873642	0.130039477068375
DCLK1	9201	0.30225342710626	0.179119266798804	0.0540018143034184
SEMA6A	57556	0.30225342710626	0.179130222966623	0.0884797192264957
GUCY2C	2984	0.302258990585892	0.179176255282372	0.0376074396111115
SCNN1G	6340	0.302258990585892	0.179176903988255	0.0543137098717947
REG3A	5068	0.302258990585892	0.179186980882008	0.0320130202051279
PDAP1	11333	0.302258990585892	0.179193185266623	-0.243189456192309
C1orf159	54991	0.302258990585892	0.179216990223438	0.0419651752094019
TJP1	7082	0.302258990585892	0.179218632743513	0.0629623183974362
C14orf1	11161	0.302258990585892	0.179228472046466	0.165103482333333
PRB4	5545	0.302278890173955	0.179253837219344	0.0949259497008548
RIN3	79890	0.302290425946881	0.179281128412631	-0.30544449581624
CEACAM5	1048	0.302290425946881	0.179287809958892	0.142309524995726
		0.302337401562707	0.17933257179585	0.0231247082606838
MKL1	57591	0.302337401562707	0.179342807245697	0.212381180346152
		0.302417271845037	0.179404408786225	0.175545238688034
ZNF665	79788	0.302417271845037	0.179417328626818	-0.14217901165812
GAGE12D///GAGE12F///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE1	100132399///100008586///729442///729431///729428///729422///729408///729396///645073///645051///26748///2579///2578///2577///2576///2543	0.302435892155001	0.179441948130022	0.0289357968632484
NAV2	89797	0.302482790297579	0.17948334844117	0.0419229855384606
ST3GAL4	6484	0.302571093343046	0.179552207924668	0.244984432880342
DDX3Y	8653	0.302571093343046	0.17957015627323	-1.20465767850855
ELOVL4	6785	0.302571093343046	0.17957648025229	0.113684412064103
MAGEA10	4109	0.302770420708092	0.179708368903883	0.027947494286324
		0.302786179825218	0.179731310889385	0.0694963117777765
TSPAN31	6302	0.302830679086754	0.179771315485329	0.176462461905983
FXYD3	5349	0.302852522802873	0.179797873902042	0.027248841764957
SPIB	6689	0.302987564099776	0.179894964612412	0.267698911777777
DDX4	54514	0.302987564099776	0.17990523989607	0.0305289563461537
TRMO	51531	0.303060198161407	0.179961968409628	-0.124309094410256
TLX3	30012	0.303128227423165	0.180015968832327	0.0424560007606836
CALB2	794	0.303245196664999	0.180099041092519	0.0378814705000003
ASB4	51666	0.303268870030439	0.1801296998077	0.0681590062393171
HEPH	9843	0.303268870030439	0.180155431060095	0.0332279110512812
		0.303268870030439	0.180165742213284	0.049328261047008
VSTM4	196740	0.303268870030439	0.180167540342995	0.0708357992735036
SPINT3	10816	0.303276068320336	0.180185426939502	0.0309155487692307
CDK1	983	0.303289824821909	0.180207210907063	-0.532545547850431
BRINP1	1620	0.303328909243924	0.180244046461374	0.0408622079999996
N4BP2L2	10443	0.303431665834869	0.180324639360134	0.269494347970086
NECTIN1	5818	0.303431665834869	0.18033234082714	0.0350179303162395
A2M	2	0.303483811863054	0.180376951232522	0.0424183890811967
RAPGEF2	9693	0.303489811185989	0.180394136748123	-0.460210450931626
G3BP1	10146	0.303497823922467	0.180412519664183	0.130539819209402
DOK5	55816	0.303593031731756	0.180482990361684	0.0830167937307684
FETUB	26998	0.303593031731756	0.180496364241004	0.0348594692264959
GPR88	54112	0.303603445110443	0.180516180239117	0.0353987365128203
CACNA1G	8913	0.3036361309423	0.180549240900483	0.0417796606880336
NR4A3	8013	0.303702589919391	0.180602901467241	0.0952345889615387
		0.303702589919391	0.180617618576072	0.0702147692820514
FERMT2	10979	0.303702589919391	0.180636217909747	0.0323632668333325
DNAJB4	11080	0.303702589919391	0.180644143676003	-0.270546442944445
CNGB1	1258	0.303702589919391	0.18065690568512	0.0498206003760684
POLE	5426	0.303702635460145	0.180670562117295	-0.266549396811965
QKI	9444	0.303823115535436	0.180755869615997	0.18835700407265
ADAM12	8038	0.303897276766689	0.180818493763505	0.0428662434914533
SLC6A2	6530	0.303897276766689	0.180827267093727	0.0277441305427342
MFSD6	54842	0.303917695679861	0.180853055904275	0.114800742132478
CCDC53	51019	0.303999467137226	0.180915358511275	-0.208845417555557
FGF13	2258	0.304012450867975	0.180937794230048	0.216821434918802
BAG5	9529	0.304012450867975	0.180950371846787	-0.148316731547009
MPZL2	10205	0.304105567987696	0.181022782736182	0.0574387321324785
XCL1	6375	0.304105567987696	0.181033090668078	0.044607036371795
ANKRA2	57763	0.304192848143089	0.181098699612539	-0.189824487974358
COL16A1	1307	0.304426469107409	0.181262858620111	0.0855141751324782
NPY1R	4886	0.304426469107409	0.181265107576049	0.0356232058162385
CROT	54677	0.304433291290501	0.181282831850902	-0.184200672482908
ALDOB	229	0.304452429493449	0.18130789118961	0.125185818700855
POLR3C	10623	0.304529673281941	0.181367557964575	-0.167782749012821
ID3	3399	0.304558480482982	0.181438756451981	-0.391830839222224
CDC42BPA	8476	0.304558480482982	0.181443012810342	-0.0681713983461538
KCNH6	81033	0.304558480482982	0.181463764036916	0.0350432795641016
AMPH	273	0.304558480482982	0.181483275935476	0.106034085072649
RAD23B	5887	0.304558480482982	0.181497979288582	-0.291657938576925
LRP5L	91355	0.304558480482982	0.181499328638019	0.28839656968376
TAGLN2	8407	0.304558480482982	0.181499582823154	0.296792000927352
WISP1	8840	0.304558480482982	0.181501637306874	0.0309141930854704
MATN3	4148	0.304558480482982	0.181514841296407	0.0812368384444424
ACRV1	56	0.304558480482982	0.181521392060965	0.0742134354529917
TGFBI	7045	0.304560180110209	0.181540640759917	0.52147414878205
RNF6	6049	0.304560180110209	0.181549740717314	0.217296717149571
BMP15	9210	0.304576599762928	0.18157742573151	0.0578378195683746
ASCL3	56676	0.304576599762928	0.181586865675649	0.0368545963076916
LOC101926997	101926997	0.304640831626376	0.18164701859409	0.0479993003504267
RGS5	8490	0.304640831626376	0.181652503245508	0.088450932931623
ZNF696	79943	0.30464145596706	0.181666547004007	0.0652948216752129
TUBA1B	10376	0.30464303117833	0.18168115789296	-0.204580263803424
DDX28	55794	0.304657930788116	0.181703715844997	0.0447257972521364
CADM4	199731	0.304700612613131	0.181758782790169	0.0322736137179485
		0.304700612613131	0.181768245139912	0.0307052285811968
PANK4	55229	0.304700612613131	0.181787973987242	-0.128778016927349
PRX	57716	0.304700612613131	0.181793676693459	0.0283224524829055
MRPL20	55052	0.304700612613131	0.18179754273175	0.0345786618418793
ULBP1	80329	0.30474904002468	0.181840112918734	0.0482479512692313
OR7E2P	8587	0.304749517731634	0.181854074284321	0.0492094081794869
GRPEL1	80273	0.304847387520606	0.181933647277853	0.275022355995728
UGT2B17	7367	0.304847387520606	0.181944384768081	0.0591124159188023
ZNF93	81931	0.304847387520606	0.181953777494538	-0.132995364948719
TUBB1	81027	0.304847387520606	0.181973521126117	0.222622553350427
TUT1	64852	0.304847387520606	0.181980879989189	-0.0970337473376066
FASTK	10922	0.304864063513042	0.182004516309025	-0.148340470017093
ZNF81	347344	0.304898667164088	0.182038857781763	0.101121061294871
TRPC3	7222	0.30498862250814	0.182106252410843	0.124235582192306
EXT2	2132	0.305028504969132	0.182143754751123	0.231401022094016
ZNF701	55762	0.305082378002319	0.182189615584834	0.127012834384614
		0.305100980093778	0.182214416509806	0.0814550139017096
PDGFB	5155	0.305122559026338	0.182240997086637	0.0833182470854683
RUBCN	9711	0.305161453344672	0.182277922363128	0.138987219935898
PHIP	55023	0.305387240719177	0.182441088374408	0.33644685152564
TRPV2	51393	0.305387240719177	0.182461785994136	-0.311021287337609
PZP	5858	0.305387240719177	0.182465070416133	0.0756034475213676
CORO2A	7464	0.305387240719177	0.182473365334356	0.123903884311965
SOX9	6662	0.305387240719177	0.182492334388911	0.0353881463461541
TGFB2	7042	0.305387240719177	0.182495018508126	0.0296365828589735
		0.305428572303864	0.182533424465761	0.357915234252137
CERS1///GDF1	10715///2657	0.305454758932543	0.182572322559326	0.0449817766324783
OR2W1	26692	0.305454758932543	0.182576508247793	0.0372247404658124
CLDN18	51208	0.305454758932543	0.182590198311784	0.0241857705555542
C8orf17	100507249	0.305608288721949	0.18269568792645	0.0268313312948716
WDR11	55717	0.305662132398893	0.18275404753312	-0.286530777136751
		0.305662132398893	0.182755310772807	0.0657272563034192
SOX1	6656	0.305677504849244	0.182778219926012	0.0276073731410258
PCDH8	5100	0.305699186732714	0.18280926854678	0.0576505163846144
		0.305699186732714	0.182818622375809	0.101178056153846
SEMA4C	54910	0.305757469452954	0.182875684085982	-0.0938262507222234
CSHL1	1444	0.305757469452954	0.182880920561368	0.0373514805170942
		0.305805129286001	0.182923150754078	0.0294041411709398
TMEM59L	25789	0.305881798039969	0.182982738763757	0.0455466765769215
SSX3	10214	0.306000530365174	0.183067498554868	0.0290259586282047
MYL3	4634	0.306007625977736	0.183085476351262	0.0248006441538453
		0.306104139395416	0.183156957795588	0.0556282799316241
KIF5C	3800	0.306126513965941	0.183194112152409	0.0307067063846149
BHMT2	23743	0.306126513965941	0.183208600382959	0.0570796892393153
		0.306126513965941	0.183213472706851	-0.102332139303419
CENPN	55839	0.306126513965941	0.18322837658067	-0.405900192683763
LYPLA2	11313	0.306126513965941	0.183239036183535	-0.089232481183763
SLC35A5	55032	0.30613167503793	0.183255863812366	-0.373019259880341
HRH3	11255	0.306145487116656	0.183280713175786	0.0553975708846153
CSRP2	1466	0.306145487116656	0.183293206007151	0.154753719529914
GPNMB	10457	0.306145487116656	0.18330534888078	0.179482694551282
LRRD1///CYP51A1	401387///1595	0.30615314487323	0.183325068335757	-0.282629227354701
ITGB1	3688	0.30615314487323	0.183345134538869	0.385113540965811
		0.30615314487323	0.183351151924483	0.0836288168034187
TMOD3	29766	0.306193471668807	0.183395736861748	0.247037037149574
DCBLD2	131566	0.306193471668807	0.183414160559358	0.0479714173076911
KAT5	10524	0.306193471668807	0.183416526492628	-0.0811937575427351
PSG3	5671	0.306226687117625	0.183450165881308	0.0371822774316235
		0.306228306529309	0.18347540448683	0.11972068941453
PRB3	5544	0.306228306529309	0.18347862139177	0.161422805294872
IGFBP5	3488	0.306278404020855	0.183522382555601	0.0318141602136754
ALG13	79868	0.306326879870352	0.183565176453297	-0.279403743230771
HFE	3077	0.30635970781539	0.183598597054558	0.0673479668974353
RND2	8153	0.306385551067653	0.183627834425728	0.0870141669145288
SLC22A3	6581	0.306448813240886	0.18367950229526	0.0764679320811963
ANTXR1	84168	0.306487657442667	0.183716539086376	0.0792093014615376
PAIP1	10605	0.306510903056333	0.183744228471323	-0.374601932824786
LAMB4	22798	0.306590163649364	0.183805501781262	0.0701464597820505
MAGEA8	4107	0.30665415290733	0.183857626120447	0.0333372839316231
CCDC82	79780	0.306716172277208	0.183908575048054	0.0271110498888885
MFNG	4242	0.30686159730058	0.184009543738741	0.144795769581196
BRF1	2972	0.3069066466206	0.184063477181057	0.0437206278290594
PEX2	5828	0.3069066466206	0.184064103820747	-0.229454670666668
CLCA2	9635	0.306970681670383	0.184116284186361	0.10661768374359
RASIP1	54922	0.306992964112231	0.18414342585487	0.0920206826794874
E2F8	79733	0.307214472900647	0.184293907307182	-0.367291126286326
RIPK2	8767	0.307214472900647	0.184303867241209	-0.12073092748718
		0.307216716559925	0.184319000300213	0.0270159528076914
LOC105379655	105379655	0.307359378907051	0.184418386033625	0.167955448730769
RDH11	51109	0.30740168574176	0.184457565859762	0.142178563935897
RRAS2	22800	0.307414116777112	0.184478821053877	0.277569214346153
STX2	2054	0.307442558248214	0.184509685924398	0.197933339769229
WHRN	25861	0.307518364413615	0.18458992825195	0.0770966182991448
SIPA1L1	26037	0.307518364413615	0.18459396216053	0.252085744085471
MAGT1	84061	0.307518364413615	0.184596582255375	0.212848160863248
GAREM1	64762	0.307574335223536	0.184643983408214	0.0413132026025638
IFNA2	3440	0.307585191495727	0.184664304260191	0.0369573016623925
PTPRB	5787	0.307586823289954	0.184679087591271	0.0686041920683755
DPYSL3	1809	0.307719820149208	0.184785749716039	0.279366875166666
		0.307719820149208	0.184786559862521	0.0768198292521363
FGF6	2251	0.3077833934107	0.18483854824853	0.111808942871794
HABP4	22927	0.307805976459545	0.184865923931162	0.0563292895683749
SLC4A4	8671	0.307879950962568	0.184929469721874	0.0881312146410242
ZBTB17	7709	0.307879950962568	0.184937986071623	0.0804513801752123
PSMB1	5689	0.30791675187866	0.184973910184793	0.100704746662391
AGXT	189	0.307926302666897	0.185003906776464	0.135704476897435
ZNF423	23090	0.307926302666897	0.185007285379187	0.125461814461537
PTGER3	5733	0.30796540776859	0.185044601023814	0.091894489688034
MYH14	79784	0.308002439316468	0.185080674166293	0.0346503355555554
NR3C1	2908	0.30802571349942	0.185108483124837	0.274130083179486
ARL4D	379	0.308163837835366	0.185205318686497	-0.0903051666752148
PRDM5	11107	0.308194839836657	0.185237781713968	0.117038537376068
NXPH4	11247	0.308254351338002	0.185287384186204	0.038679206636751
DICER1	23405	0.308273761311818	0.185312885732253	0.340703427944444
MBNL1	4154	0.308323446880618	0.185356589974993	0.353911101829056
DAPP1	27071	0.308354958864989	0.185389372342784	0.184241225760683
EP300	2033	0.30836769958607	0.185423777635286	0.244317936504272
AGRP	181	0.30836769958607	0.185430334846384	0.0313712842264953
RAPGEF2	9693	0.30836769958607	0.18543854842047	0.155024165256411
KRT17///JUP	3872///3728	0.308368415916417	0.185461721734319	0.0851566386538458
PTGES3L-AARSD1///PTGES3L///AARSD1	100885850///100885848///80755	0.308368415916417	0.185466656649096	-0.20786401475641
SMIM14	201895	0.308473845578496	0.18555308055255	0.104012701517094
MIR600///MIR600HG	693185///81571	0.308473845578496	0.185557753719614	0.027536010688034
CSPP1	79848	0.308574495882814	0.18563214635862	-0.178452587867521
GPR171	29909	0.30872380907837	0.185735824821821	0.412278181645299
MIR4640///DDR1	100616237///780	0.308754910396635	0.185768392213243	-0.057294335051282
TTLL5	23093	0.308791671690359	0.185804368084384	0.140480520495725
RNASEL	6041	0.308813981334838	0.185831650842294	0.079756485764956
ZNF41	7592	0.308820072658988	0.18584917535148	0.0390522546111107
NSUN6	221078	0.308832331724483	0.185870412456	0.174852757747862
HSD3B2	3284	0.308852947352017	0.185896680423877	0.0438821559401705
SOX2	6657	0.308998063332908	0.185997891822658	0.0249532962521366
ATF5	22809	0.30900882295791	0.186018235926823	0.0465191872179496
CEL	1056	0.30905581039104	0.186060391167967	0.125029741380342
ADAT1	23536	0.309111475724626	0.186107775358865	-0.303707832136753
MAP2K2	5605	0.309125401463547	0.186138819655135	0.0273147243119651
DNAH3	55567	0.309125401463547	0.186155603218001	0.0665379231837595
FGFR4	2264	0.309125401463547	0.186157777778546	0.0376348680641028
PIK3IP1	113791	0.309187607135582	0.186209114022327	-0.297340254995728
MT1M	4499	0.309202493930038	0.186231955797471	-0.379721818132479
LSM4	25804	0.309256213720783	0.18627818967645	-0.240408659376071
		0.309318033061496	0.186333559349586	0.156425585790597
MTSS1	9788	0.309318033061496	0.186345625891997	-0.487745704457266
SEC24C	9632	0.309318033061496	0.186357070136453	-0.184689578235043
PML	5371	0.30932989292621	0.186378097313077	0.0310053420854697
HLA-DPA2	646702	0.30933164158291	0.186393032874107	0.0597353222393151
		0.30942928545429	0.186465756185442	0.0730935682307696
LMO7	4008	0.30947698354284	0.186508388098407	0.0538723714743576
ZNF407	55628	0.309488042366149	0.18653880668131	0.0666994495854696
UPK1A	11045	0.309488042366149	0.186542830723859	0.0264591765341882
GTDC1	79712	0.309531063009105	0.186582652171534	-0.138058026807694
ENOX2	10495	0.309568127218368	0.186618886726399	-0.198105070858975
PDGFRL	5157	0.309607116210017	0.186656285022904	0.0296426100897444
ADRA2B	151	0.309649387015572	0.18669566550977	0.032915249094017
DEC1	50514	0.309657913404807	0.186716714145537	0.0366202401623936
